                         Norm of     First-order   Improvement (%)
Iteration      Cost      step        optimality    Expected  Achieved   Bisections
------------------------------------------------------------------------------------------
    0     0.0221715         -      7.77e+08        100          -        -
    1     0.0211115   0.00231      9.32e+08        100       4.78        5
    2     0.0210183  1.12e-05      8.45e+08        100      0.441        8
    3     0.0201852  0.000732      4.48e+09        100       3.96        3
    4     0.0170938  0.000149      9.24e+09        100       15.3        4
    5       0.01252  0.000173      1.86e+10        100       26.8        3
    6    0.00672255  0.000292      4.03e+10        100       46.3        2
    7   0.000604129  0.000777      2.85e+11        100         91        0
    8   0.000240872  0.000242      1.98e+11        100       60.1        0
    9   0.000240657  5.62e-05      1.98e+11        100     0.0892        5
   10   0.000240001  5.72e-05      1.98e+11        100      0.273        5
   11   0.000239461  9.33e-05      1.95e+11        100      0.225        4
   12    0.00023882  8.09e-05      1.95e+11        100      0.268        6
   13   0.000204003   0.00108      4.53e+10        100       14.6        0
   14   0.000203894  0.000103      4.63e+10        100     0.0535        4
   15   0.000203772  0.000106      4.71e+10        100     0.0596        4
   16   0.000203714  0.000257      5.73e+10        100     0.0285        3
   17   0.000203615  0.000379      7.12e+10        100     0.0488        4
   18   0.000202674  0.000397      6.97e+10        100      0.462        4
   19   0.000202148   0.00148      8.63e+10        100      0.259        2
   20   0.000201733  1.92e-05       8.4e+10        100      0.205        5
   21   0.000201527   9.3e-06      8.28e+10        100      0.102        6
   22   0.000201475  2.29e-06      8.25e+10        100     0.0257        8
   23   0.000201475  1.36e-08      8.25e+10        100     0.0002       15
   24   0.000197599  2.42e-05      4.12e+10        100       1.92        1
   25   0.000196338  5.23e-06      9.66e+07        100      0.638        0
   26   0.000196337  9.47e-07      9.66e+07        100   0.000426        9
   27   0.000196337     7e-08      9.66e+07        100   4.03e-05       12
   28   0.000196337  3.97e-07      3.78e+07        100   3.12e-05        0
   29   0.000196337  7.41e-09      3.78e+07        100   3.35e-06       16
   30   0.000196337  2.75e-10      3.78e+07        100   1.59e-07       20
   31   0.000196337   1.9e-07      1.67e+07        100    7.7e-06        0
   32   0.000196337  7.39e-09      1.67e+07        100   3.33e-06       16
   33   0.000196337  5.48e-10      1.67e+07        100   3.17e-07       19
   34   0.000196337  5.36e-09      1.56e+07        100    3.4e-07        4
   35   0.000196337  2.51e-09      1.52e+07        100   1.52e-07        5
   36   0.000196337  1.22e-09      1.49e+07        100   7.18e-08        6
   37   0.000196337  5.99e-10      1.36e+07        100    3.4e-08        7
   38   0.000196337  2.73e-10      1.35e+07        100   1.46e-08        8
   39   0.000196337  1.36e-10      1.35e+07        100   7.22e-09        9
   40   0.000196337   2.7e-11      1.33e+07        100    5.3e-09        6
   41   0.000196337  6.64e-12      1.33e+07        100   1.29e-09        8
   42   0.000196337  1.01e-10      1.06e+06        100   1.54e-07        0
   43   0.000196337  3.32e-12      1.06e+06        100   4.05e-11        9
   44   0.000196337  8.27e-13      1.06e+06        100   1.07e-11       11
   45   0.000196337   1.9e-14      1.06e+06        100   5.66e-13        1
   46   0.000196337   1.9e-14      1.06e+06        100   3.04e-13        0
   47   0.000196337  2.07e-13      1.06e+06        100   8.56e-13       13
   48   0.000196337  1.03e-13      1.06e+06        100   8.84e-13       14
   49   0.000196337  1.38e-17      1.06e+06        100   3.45e-13        2
   50   0.000196337  1.25e-17      1.06e+06        100   1.26e-12        2
   51   0.000196337   5.7e-18      1.06e+06        100   1.52e-13        3
   52   0.000196337  2.12e-20      1.06e+06        100   1.38e-14       11
   53   0.000196286  4.51e-05      5.18e+09        100      0.026       14
   54   0.000196267  3.46e-09      7.33e+06        100    0.00942        0
   55   0.000196267  1.77e-11      7.41e+06        100   8.29e-09        0
   56   0.000196265  6.25e-07      7.08e+06        100    0.00141        0
   57    0.00019626  2.66e-06      7.76e+07        100    0.00234        0
   58    0.00019626   4.6e-07      4.55e+07        100    4.2e-05        0
   59   0.000196238  2.92e-05      1.07e+09        100     0.0112        4
   60   0.000196233  6.85e-06      1.11e+09        100    0.00258        6
   61   0.000196232  9.64e-07       1.1e+09        100   0.000471        8
   62   0.000196231  3.54e-08      5.38e+08        100   0.000335        1
   63   0.000196231  3.56e-08      4.84e+06        100   0.000108        0
   64   0.000196231  1.05e-07      4.83e+06        100   3.94e-05       12
   65   0.000196231  2.99e-08      4.83e+06        100   1.44e-05       13
   66   0.000196231  2.41e-08      2.44e+06        100   1.42e-07        0
   67   0.000196231  1.05e-07      2.45e+06        100   3.94e-05       12
   68   0.000196231  2.99e-08      2.45e+06        100   1.44e-05       13
   69   0.000196231  3.01e-09      1.06e+06        100   1.63e-08        2
   70   0.000196231   1.5e-09      1.05e+06        100   2.67e-09        1
   71   0.000196231   7.5e-10      1.05e+06        100   6.69e-10        1
   72   0.000196231  3.75e-10      1.05e+06        100   1.63e-10        1
   73   0.000196231  9.36e-11      1.05e+06        100   2.42e-11        2
   74   0.000196231  8.77e-12      1.05e+06        100   2.56e-12        5
   75   0.000196231  4.25e-12      1.05e+06        100   1.86e-12        6
   76   0.000196231  2.09e-12      1.05e+06        100   1.17e-12        7
   77   0.000196231  5.19e-13      1.05e+06        100   8.43e-13        9
   78   0.000196231  3.24e-14      1.05e+06        100   1.19e-12       13
   79   0.000196231  3.06e-18      1.05e+06        100   5.25e-13       21
   80   0.000196231  6.11e-18      1.05e+06        100   1.52e-13       20
   81   0.000196231  4.83e-20      1.05e+06        100   4.14e-14       23
